,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,g-xg,np:g-xg,sca,gca,att 3rd,att pen,att,succ,succ%,prgc,1/3,cpa,year,team
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3,1,se Sweden,,,53.0,43228.0,David Alaba,4-4-2,Serdar Gözübüyük,Match Report,,12.0,6.0,50.0,0.17,0.33,,1,1,,,,,,,,,,,,,2024,Austria
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2,3,be Belgium,,,58.0,47000.0,Konrad Laimer,4-4-1-1,Jesús Gil,Match Report,,16.0,5.0,31.3,0.06,0.2,,1,1,,,,,,,,,,,,,2024,Austria
6,2023-10-16,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1,0,az Azerbaijan,,,46.0,4446.0,Konrad Laimer,4-1-4-1,Aristotelis Diamantopoulos,Match Report,,13.0,3.0,23.1,0.0,0.0,,1,1,,,,,,,,,,,,,2024,Austria
7,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,ee Estonia,,,69.0,4488.0,David Alaba,4-3-3,Nikola Dabanović,Match Report,,16.0,4.0,25.0,0.13,0.5,,0,0,,,,,,,,,,,,,2024,Austria
8,2024-03-23,18:00,Friendlies (M),Friendlies (M),Sat,Away,W,2,0,sk Slovakia,,,,9912.0,Marcel Sabitzer,4-2-3-1,Trustin Farrugia Cann,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Austria
9,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,6,1,tr Türkiye,,,,38500.0,Konrad Laimer,4-2-3-1,Daniele Chiffi,Match Report,,,,,,,,2,2,,,,,,,,,,,,,2024,Austria
10,2024-06-04,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2,1,rs Serbia,,,,37800.0,Marko Arnautović,4-2-3-1,António Nobre,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Austria
11,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Away,D,1,1,ch Switzerland,,,,18731.0,Konrad Laimer,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Austria
12,2024-06-17,21:00,UEFA Euro,Group stage,Mon,Neutral,L,0,1,fr France,0.8,2.0,52.0,46425.0,Marcel Sabitzer,4-2-3-1,Jesús Gil,Match Report,,6.0,3.0,50.0,0.0,0.0,15.3,0,0,-0.8,-0.8,9.0,0.0,161.0,18.0,11.0,4.0,36.4,22.0,19.0,3.0,2024,Austria
13,2024-06-21,18:00,UEFA Euro,Group stage,Fri,Neutral,W,3,1,pl Poland,2.1,1.6,52.0,69455.0,Marko Arnautović,4-2-3-1,Halil Umut Meler,Match Report,,14.0,8.0,57.1,0.14,0.25,20.5,1,1,0.9,0.7,25.0,6.0,189.0,22.0,11.0,5.0,45.5,22.0,20.0,10.0,2024,Austria
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Neutral,W,3,2,nl Netherlands,0.9,1.7,47.0,68363.0,Marko Arnautović,4-2-3-1,Ivan Kružliak,Match Report,,9.0,5.0,55.6,0.22,0.4,16.8,0,0,1.1,1.1,14.0,4.0,112.0,15.0,15.0,7.0,46.7,9.0,7.0,2.0,2024,Austria
15,2024-07-02,21:00,UEFA Euro,Round of 16,Tue,Neutral,L,1,2,tr Türkiye,3.1,0.9,60.0,38305.0,Marko Arnautović,4-2-3-1,Artur Soares Dias,Match Report,,21.0,5.0,23.8,0.05,0.2,15.4,0,0,-2.1,-2.1,38.0,1.0,295.0,30.0,17.0,7.0,41.2,22.0,26.0,1.0,2024,Austria
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4,0,nl Netherlands,,,41.0,77328.0,Kylian Mbappé,4-2-3-1,Maurizio Mariani,Match Report,,12.0,8.0,66.7,0.33,0.5,,0,0,,,,,,,,,,,,,2024,France
1,2023-03-27,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1,0,ie Rep. of Ireland,,,65.0,50219.0,Kylian Mbappé,4-3-3,Artur Soares Dias,Match Report,,11.0,4.0,36.4,0.09,0.25,,0,0,,,,,,,,,,,,,2024,France
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,0,gi Gibraltar,,,82.0,4065.0,Kylian Mbappé,4-3-3,Yevhen Aranovskyi,Match Report,,31.0,9.0,29.0,0.03,0.11,,1,1,,,,,,,,,,,,,2024,France
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,gr Greece,,,62.0,76500.0,Kylian Mbappé,4-2-3-1,Antonio Matéu,Match Report,,19.0,5.0,26.3,0.0,0.0,,1,1,,,,,,,,,,,,,2024,France
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,ie Rep. of Ireland,,,68.0,43995.0,Kylian Mbappé,4-2-3-1,Urs Schnyder,Match Report,,25.0,5.0,20.0,0.08,0.4,,0,0,,,,,,,,,,,,,2024,France
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2,1,nl Netherlands,,,55.0,51310.0,Kylian Mbappé,4-3-3,Felix Zwayer,Match Report,,15.0,7.0,46.7,0.13,0.29,,0,0,,,,,,,,,,,,,2024,France
6,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,14,0,gi Gibraltar,,,73.0,32758.0,Kylian Mbappé,4-2-3-1,John Brooks,Match Report,,39.0,20.0,51.3,0.31,0.6,,1,1,,,,,,,,,,,,,2024,France
7,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,2,2,gr Greece,,,67.0,24820.0,Antoine Griezmann,4-2-3-1,Daniel Siebert,Match Report,,15.0,7.0,46.7,0.13,0.29,,0,0,,,,,,,,,,,,,2024,France
8,2024-03-23,21:00,Friendlies (M),Friendlies (M),Sat,Home,L,0,2,de Germany,,,,,Kylian Mbappé,4-1-4-1,Jesús Gil,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,France
9,2024-03-26,21:00,Friendlies (M),Friendlies (M),Tue,Home,W,3,2,cl Chile,,,,,Kylian Mbappé,4-1-4-1,Anthony Taylor,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,France
10,2024-06-05,21:00,Friendlies (M),Friendlies (M),Wed,Home,W,3,0,lu Luxembourg,,,,25590.0,Kylian Mbappé,4-2-3-1,Lawrence Visser,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,France
11,2024-06-09,21:15,Friendlies (M),Friendlies (M),Sun,Home,D,0,0,ca Canada,,,,40835.0,Olivier Giroud,4-2-3-1,Fábio Veríssimo,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,France
12,2024-06-17,21:00,UEFA Euro,Group stage,Mon,Neutral,W,1,0,at Austria,2.0,0.8,48.0,46425.0,Kylian Mbappé,4-2-3-1,Jesús Gil,Match Report,,14.0,3.0,21.4,0.0,0.0,14.4,0,0,-2.0,-2.0,25.0,0.0,149.0,34.0,29.0,12.0,41.4,24.0,15.0,11.0,2024,France
13,2024-06-21,21:00,UEFA Euro,Group stage,Fri,Neutral,D,0,0,nl Netherlands,1.4,0.5,62.0,38531.0,Antoine Griezmann,4-4-1-1,Anthony Taylor,Match Report,,15.0,3.0,20.0,0.0,0.0,19.1,0,0,-1.4,-1.4,29.0,0.0,192.0,20.0,15.0,9.0,60.0,19.0,19.0,4.0,2024,France
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Neutral,D,1,1,pl Poland,2.3,1.2,58.0,59728.0,Kylian Mbappé,4-3-3,Marco Guida,Match Report,,18.0,7.0,38.9,0.0,0.0,17.4,1,1,-1.3,-1.5,36.0,2.0,249.0,53.0,28.0,14.0,50.0,42.0,17.0,20.0,2024,France
15,2024-07-01,18:00,UEFA Euro,Round of 16,Mon,Neutral,W,1,0,be Belgium,1.1,0.2,55.0,46810.0,Kylian Mbappé,4-3-3,Glenn Nyberg,Match Report,,19.0,2.0,10.5,0.0,0.0,18.1,0,0,-1.1,-1.1,37.0,0.0,253.0,35.0,18.0,9.0,50.0,26.0,23.0,6.0,2024,France
16,2024-07-05,21:00,UEFA Euro,Quarter-finals,Fri,Neutral,D,0 (5),0 (3),pt Portugal,1.1,1.8,40.0,47789.0,Kylian Mbappé,4-3-1-2,Michael Oliver,Match Report,France won on penalty kicks following extra time,20.0,5.0,25.0,0.0,0.0,21.0,0,0,-1.1,-1.1,38.0,0.0,242.0,22.0,25.0,14.0,56.0,35.0,24.0,7.0,2024,France
17,2024-07-09,21:00,UEFA Euro,Semi-finals,Tue,Neutral,L,1,2,es Spain,1.1,0.7,42.0,62042.0,Kylian Mbappé,4-3-3,Slavko Vinčič,Match Report,,9.0,3.0,33.3,0.11,0.33,14.3,0,0,-0.1,-0.1,16.0,2.0,149.0,29.0,15.0,8.0,53.3,22.0,14.0,9.0,2024,France
0,2023-03-25,21:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,am Armenia,,,59.0,14125.0,Hakan Çalhanoğlu,3-4-3,José Sánchez,Match Report,,12.0,4.0,33.3,0.17,0.5,,0,0,,,,,,,,,,,,,2024,Turkiye
1,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,2,hr Croatia,,,46.0,37750.0,Hakan Çalhanoğlu,4-2-3-1,Andreas Ekberg,Match Report,,18.0,5.0,27.8,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Turkiye
2,2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,2,lv Latvia,,,69.0,6287.0,Hakan Çalhanoğlu,4-2-3-1,Tamás Bognár,Match Report,,20.0,7.0,35.0,0.15,0.43,,0,0,,,,,,,,,,,,,2024,Turkiye
3,2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,0,wls Wales,,,77.0,28766.0,Hakan Çalhanoğlu,4-3-3,Fabio Maresca,Match Report,,14.0,5.0,35.7,0.14,0.4,,0,1,,,,,,,,,,,,,2024,Turkiye
4,2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,am Armenia,,,66.0,31740.0,Hakan Çalhanoğlu,4-1-4-1,Daniele Orsato,Match Report,,19.0,8.0,42.1,0.05,0.13,,0,0,,,,,,,,,,,,,2024,Turkiye
5,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,1,0,hr Croatia,,,37.0,12812.0,Hakan Çalhanoğlu,4-2-3-1,Anthony Taylor,Match Report,,14.0,6.0,42.9,0.07,0.17,,0,0,,,,,,,,,,,,,2024,Turkiye
6,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,lv Latvia,,,68.0,35925.0,Hakan Çalhanoğlu,4-1-4-1,Enea Jorgji,Match Report,,18.0,8.0,44.4,0.22,0.5,,0,0,,,,,,,,,,,,,2024,Turkiye
7,2023-11-21,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1,1,wls Wales,,,61.0,32291.0,Uğurcan Çakır,4-1-4-1,Matej Jug,Match Report,,9.0,2.0,22.2,0.0,0.0,,1,1,,,,,,,,,,,,,2024,Turkiye
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,0,1,hu Hungary,,,,58000.0,Hakan Çalhanoğlu,4-2-3-1,Bartosz Frankowski,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Turkiye
9,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1,6,at Austria,,,,38500.0,Hakan Çalhanoğlu,4-2-3-1,Daniele Chiffi,Match Report,,,,,,,,1,1,,,,,,,,,,,,,2024,Turkiye
10,2024-06-04,21:00,Friendlies (M),Friendlies (M),Tue,Away,D,0,0,it Italy,,,,25012.0,Hakan Çalhanoğlu,4-2-3-1,Sebastian Gishamer,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Turkiye
11,2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Away,L,1,2,pl Poland,,,,48677.0,Hakan Çalhanoğlu,4-2-3-1,Balázs Berke,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Turkiye
12,2024-06-18,18:00,UEFA Euro,Group stage,Tue,Neutral,W,3,1,ge Georgia,3.0,1.4,56.0,59127.0,Hakan Çalhanoğlu,4-2-3-1,Facundo Tello,Match Report,,22.0,8.0,36.4,0.14,0.38,22.0,0,0,0.0,0.0,42.0,4.0,218.0,23.0,19.0,3.0,15.8,25.0,18.0,5.0,2024,Turkiye
13,2024-06-22,18:00,UEFA Euro,Group stage,Sat,Neutral,L,0,3,pt Portugal,0.7,1.9,43.0,61047.0,Hakan Çalhanoğlu,4-2-3-1,Felix Zwayer,Match Report,,11.0,3.0,27.3,0.0,0.0,23.7,0,0,-0.7,-0.7,19.0,0.0,144.0,12.0,18.0,10.0,55.6,18.0,9.0,3.0,2024,Turkiye
14,2024-06-26,21:00,UEFA Euro,Group stage,Wed,Neutral,W,2,1,cz Czechia,1.4,1.6,67.0,47683.0,Hakan Çalhanoğlu,4-2-3-1,István Kovács,Match Report,,18.0,5.0,27.8,0.11,0.4,17.0,0,0,0.6,0.6,33.0,4.0,175.0,28.0,20.0,12.0,60.0,29.0,20.0,13.0,2024,Turkiye
15,2024-07-02,21:00,UEFA Euro,Round of 16,Tue,Neutral,W,2,1,at Austria,0.9,3.1,40.0,38305.0,Kaan Ayhan,3-4-3,Artur Soares Dias,Match Report,,6.0,3.0,50.0,0.33,0.67,17.5,0,0,1.1,1.1,11.0,3.0,74.0,9.0,13.0,7.0,53.8,18.0,13.0,3.0,2024,Turkiye
16,2024-07-06,21:00,UEFA Euro,Quarter-finals,Sat,Neutral,L,1,2,nl Netherlands,1.3,1.0,41.0,70091.0,Hakan Çalhanoğlu,5-4-1,Clément Turpin,Match Report,,15.0,3.0,20.0,0.07,0.33,16.8,0,0,-0.3,-0.3,25.0,1.0,85.0,16.0,13.0,5.0,38.5,13.0,9.0,0.0,2024,Turkiye
0,2023-03-28,20:00,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,no Norway,,,34.0,20300.0,Guram Kashia,5-3-2,Andris Treimanis,Match Report,,15.0,3.0,20.0,0.07,0.33,,0,0,,,,,,,,,,,,,2024,Georgia
1,2023-06-17,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,cy Cyprus,,,55.0,3763.0,Guram Kashia,3-5-2,Fábio Veríssimo,Match Report,,19.0,5.0,26.3,0.11,0.4,,0,0,,,,,,,,,,,,,2024,Georgia
2,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,sct Scotland,,,49.0,50062.0,Guram Kashia,4-4-1-1,István Vad II,Match Report,,9.0,0.0,0.0,0.0,,,0,1,,,,,,,,,,,,,2024,Georgia
3,2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,7,es Spain,,,28.0,51694.0,Guram Kashia,4-4-2,Daniel Siebert,Match Report,,5.0,2.0,40.0,0.2,0.5,,0,0,,,,,,,,,,,,,2024,Georgia
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,no Norway,,,38.0,23665.0,Guram Kashia,5-3-2,Nikola Dabanović,Match Report,,7.0,2.0,28.6,0.14,0.5,,0,0,,,,,,,,,,,,,2024,Georgia
5,2023-10-15,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,cy Cyprus,,,60.0,15871.0,Guram Kashia,5-3-2,Robert Jones,Match Report,,12.0,5.0,41.7,0.25,0.6,,1,1,,,,,,,,,,,,,2024,Georgia
6,2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Home,D,2,2,sct Scotland,,,36.0,44595.0,Guram Kashia,5-3-2,Aleksandar Stavrev,Match Report,,8.0,6.0,75.0,0.25,0.33,,0,0,,,,,,,,,,,,,2024,Georgia
7,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1,3,es Spain,,,24.0,24146.0,Guram Kashia,5-3-2,Ovidiu Hațegan,Match Report,,8.0,1.0,12.5,0.13,1.0,,0,0,,,,,,,,,,,,,2024,Georgia
8,2024-03-21,21:00,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,2,0,lu Luxembourg,,,56.0,,Guram Kashia,5-3-2,José Sánchez,Match Report,,13.0,4.0,30.8,0.15,0.5,,0,0,,,,,,,,,,,,,2024,Georgia
9,2024-03-26,21:00,UEFA Euro Qualifying,Finals,Tue,Home,D,0 (4),0 (2),gr Greece,,,36.0,,Guram Kashia,3-1-4-2,Szymon Marciniak,Match Report,Georgia won on penalty kicks following extra time,16.0,3.0,18.8,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Georgia
10,2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Away,W,3,1,me Montenegro,,,,2942.0,Guram Kashia,3-5-2,Aleksandar Stavrev,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Georgia
11,2024-06-18,18:00,UEFA Euro,Group stage,Tue,Neutral,L,1,3,tr Türkiye,1.4,3.0,44.0,59127.0,Guram Kashia,3-5-2,Facundo Tello,Match Report,,14.0,4.0,28.6,0.07,0.25,14.8,0,0,-0.4,-0.4,26.0,2.0,122.0,21.0,22.0,6.0,27.3,17.0,18.0,5.0,2024,Georgia
12,2024-06-22,15:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,cz Czechia,1.1,3.0,38.0,46524.0,Guram Kashia,3-4-3,Daniel Siebert,Match Report,,4.0,0.0,0.0,0.0,,24.3,1,1,-0.1,-0.3,8.0,1.0,100.0,12.0,26.0,9.0,34.6,13.0,15.0,5.0,2024,Georgia
13,2024-06-26,21:00,UEFA Euro,Group stage,Wed,Neutral,W,2,0,pt Portugal,1.6,2.0,28.0,49616.0,Guram Kashia,5-3-2,Sandro Schärer,Match Report,,6.0,2.0,33.3,0.17,0.5,17.6,1,1,0.4,0.1,12.0,2.0,48.0,11.0,18.0,9.0,50.0,10.0,7.0,3.0,2024,Georgia
14,2024-06-30,21:00,UEFA Euro,Round of 16,Sun,Neutral,L,1,4,es Spain,0.2,3.3,25.0,42233.0,Guram Kashia,5-3-2,François Letexier,Match Report,,4.0,0.0,0.0,0.0,,39.4,0,0,-0.2,-0.2,7.0,0.0,30.0,4.0,17.0,7.0,41.2,12.0,11.0,1.0,2024,Georgia
0,2023-03-23,19:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,0,li Liechtenstein,,,82.0,45378.0,Cristiano Ronaldo,3-1-4-2,Espen Andreas Eskås,Match Report,,35.0,11.0,31.4,0.09,0.27,,1,1,,,,,,,,,,,,,2024,Portugal
1,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,6,0,lu Luxembourg,,,62.0,9231.0,Cristiano Ronaldo,3-4-3,Radu Petrescu,Match Report,,14.0,8.0,57.1,0.43,0.75,,0,1,,,,,,,,,,,,,2024,Portugal
2,2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3,0,ba Bosnia & Herz'na,,,62.0,55058.0,Cristiano Ronaldo,3-4-3,Davide Massa,Match Report,,10.0,5.0,50.0,0.3,0.6,,0,0,,,,,,,,,,,,,2024,Portugal
3,2023-06-20,18:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1,0,is Iceland,,,72.0,9517.0,Cristiano Ronaldo,5-3-2,Daniel Siebert,Match Report,,11.0,3.0,27.3,0.09,0.33,,0,0,,,,,,,,,,,,,2024,Portugal
4,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,sk Slovakia,,,56.0,21473.0,Cristiano Ronaldo,4-3-3,Glenn Nyberg,Match Report,,12.0,7.0,58.3,0.08,0.14,,0,0,,,,,,,,,,,,,2024,Portugal
5,2023-09-11,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,9,0,lu Luxembourg,,,66.0,18932.0,Bernardo Silva,4-2-3-1,John Brooks,Match Report,,22.0,10.0,45.5,0.41,0.9,,0,0,,,,,,,,,,,,,2024,Portugal
6,2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3,2,sk Slovakia,,,58.0,46601.0,Cristiano Ronaldo,4-1-3-2,Tasos Sidiropoulos,Match Report,,25.0,12.0,48.0,0.08,0.17,,1,1,,,,,,,,,,,,,2024,Portugal
7,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,5,0,ba Bosnia & Herz'na,,,68.0,13047.0,Cristiano Ronaldo,4-4-1-1,Halil Umut Meler,Match Report,,9.0,6.0,66.7,0.44,0.67,,1,1,,,,,,,,,,,,,2024,Portugal
8,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,li Liechtenstein,,,84.0,5749.0,Cristiano Ronaldo,3-4-3,Mohammed Al Hakim,Match Report,,29.0,8.0,27.6,0.07,0.25,,0,0,,,,,,,,,,,,,2024,Portugal
9,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,is Iceland,,,74.0,45655.0,Cristiano Ronaldo,4-3-3,Anastasios Papapetrou,Match Report,,23.0,11.0,47.8,0.09,0.18,,0,0,,,,,,,,,,,,,2024,Portugal
10,2024-03-21,19:45,Friendlies (M),Friendlies (M),Thu,Home,W,5,2,se Sweden,,,,27532.0,Pepe,4-3-3,Ricardo de Burgos,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Portugal
11,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,0,2,si Slovenia,,,,16432.0,Cristiano Ronaldo,3-4-3,Irfan Peljto,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Portugal
12,2024-06-04,19:45,Friendlies (M),Friendlies (M),Tue,Home,W,4,2,fi Finland,,,,19834.0,Rúben Dias,4-1-4-1,Christian-Petru Ciochirca,Match Report,,,,,,,,1,1,,,,,,,,,,,,,2024,Portugal
13,2024-06-08,17:45,Friendlies (M),Friendlies (M),Sat,Home,L,1,2,hr Croatia,,,,,Bernardo Silva,4-1-4-1,Harm Osmers,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Portugal
14,2024-06-11,19:45,Friendlies (M),Friendlies (M),Tue,Home,W,3,0,ie Rep. of Ireland,,,,27024.0,Cristiano Ronaldo,3-4-1-2,Chris Kavanagh,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Portugal
15,2024-06-18,21:00,UEFA Euro,Group stage,Tue,Neutral,W,2,1,cz Czechia,1.9,0.4,73.0,38421.0,Cristiano Ronaldo,3-4-3,Marco Guida,Match Report,,19.0,8.0,42.1,0.05,0.13,19.3,0,0,-0.9,-0.9,36.0,2.0,288.0,34.0,22.0,10.0,45.5,40.0,37.0,11.0,2024,Portugal
16,2024-06-22,18:00,UEFA Euro,Group stage,Sat,Neutral,W,3,0,tr Türkiye,1.9,0.7,57.0,61047.0,Cristiano Ronaldo,4-2-3-1,Felix Zwayer,Match Report,,12.0,3.0,25.0,0.17,0.67,16.1,0,0,0.1,0.1,22.0,4.0,143.0,32.0,23.0,8.0,34.8,19.0,14.0,7.0,2024,Portugal
17,2024-06-26,21:00,UEFA Euro,Group stage,Wed,Neutral,L,0,2,ge Georgia,2.0,1.6,72.0,49616.0,Cristiano Ronaldo,3-4-3,Sandro Schärer,Match Report,,22.0,5.0,22.7,0.0,0.0,16.7,0,0,-2.0,-2.0,40.0,0.0,360.0,28.0,27.0,13.0,48.1,42.0,36.0,4.0,2024,Portugal
18,2024-07-01,21:00,UEFA Euro,Round of 16,Mon,Neutral,D,0 (3),0 (0),si Slovenia,2.0,0.6,71.0,46576.0,Cristiano Ronaldo,4-2-3-1,Daniele Orsato,Match Report,Portugal won on penalty kicks following extra time,19.0,5.0,26.3,0.0,0.0,20.2,0,1,-2.0,-1.2,36.0,0.0,255.0,34.0,46.0,22.0,47.8,36.0,22.0,13.0,2024,Portugal
19,2024-07-05,21:00,UEFA Euro,Quarter-finals,Fri,Neutral,D,0 (3),0 (5),fr France,1.8,1.1,60.0,47789.0,Cristiano Ronaldo,4-2-3-1,Michael Oliver,Match Report,France won on penalty kicks following extra time,15.0,4.0,26.7,0.0,0.0,16.2,0,0,-1.8,-1.8,29.0,0.0,230.0,25.0,26.0,11.0,42.3,30.0,21.0,8.0,2024,Portugal
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3,1,pl Poland,,,36.0,19045.0,Tomáš Souček,3-4-3,Anastasios Sidiropoulos,Match Report,,8.0,6.0,75.0,0.38,0.5,,0,0,,,,,,,,,,,,,2024,Czechia
1,2023-03-27,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0,0,md Moldova,,,68.0,5120.0,Tomáš Souček,3-4-3,Daniel Schlager,Match Report,,16.0,3.0,18.8,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Czechia
2,2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,3,0,fo Faroe Islands,,,60.0,2232.0,Tomáš Souček,4-2-3-1,Arda Kardeşler,Match Report,,19.0,5.0,26.3,0.16,0.6,,0,0,,,,,,,,,,,,,2024,Czechia
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,1,1,al Albania,,,57.0,18641.0,Tomáš Souček,3-4-3,Anthony Taylor,Match Report,,12.0,4.0,33.3,0.08,0.25,,0,0,,,,,,,,,,,,,2024,Czechia
4,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,3,al Albania,,,64.0,20917.0,Tomáš Souček,3-4-3,Danny Makkelie,Match Report,,13.0,7.0,53.8,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Czechia
5,2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,1,0,fo Faroe Islands,,,71.0,9115.0,Tomáš Souček,4-2-3-1,Rohit Saggi,Match Report,,29.0,7.0,24.1,0.0,0.0,,1,1,,,,,,,,,,,,,2024,Czechia
6,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,1,1,pl Poland,,,39.0,56310.0,Tomáš Souček,3-4-1-2,Daniele Orsato,Match Report,,15.0,3.0,20.0,0.07,0.33,,0,0,,,,,,,,,,,,,2024,Czechia
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3,0,md Moldova,,,55.0,11653.0,Tomáš Souček,3-4-1-2,Sandro Schärer,Match Report,,22.0,7.0,31.8,0.14,0.43,,0,0,,,,,,,,,,,,,2024,Czechia
8,2024-03-22,18:00,Friendlies (M),Friendlies (M),Fri,Away,W,2,1,no Norway,,,,11891.0,Tomáš Souček,4-2-3-1,Willy Delajod,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Czechia
9,2024-03-26,20:00,Friendlies (M),Friendlies (M),Tue,Home,W,2,1,am Armenia,,,,16158.0,Tomáš Souček,3-4-1-2,Julian Weinberger,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Czechia
10,2024-06-07,17:30,Friendlies (M),Friendlies (M),Fri,Neutral,W,7,1,mt Malta,,,,,Antonín Barák,3-3-2-2,Stefan Ebner,Match Report,,,,,,,,1,1,,,,,,,,,,,,,2024,Czechia
11,2024-06-10,18:00,Friendlies (M),Friendlies (M),Mon,Home,W,2,1,mk N. Macedonia,,,,8864.0,Tomáš Souček,5-3-2,Michal Očenáš,Match Report,,,,,,,,2,2,,,,,,,,,,,,,2024,Czechia
